experimento	fecha	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8312	20220512 073807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.170783948527742	0.271732241935167	1019	334	50	0.035296646058699	9640	12920000	87
HT8312	20220512 073857	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.292613290641289	0.469711741302046	860	6886	56	0.0429368312377381	13404	13716000	88
HT8312	20220512 074112	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0392953806549031	0.451976334698149	743	683	167	0.0464929370618508	10980	14940000	89
HT8312	20220512 074144	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.160774180514626	0.22254505741389	672	2376	32	0.0682982522757522	10136	13624000	90
HT8312	20220512 074415	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.281904125920376	0.784900363077223	275	392	119	0.00112369896795896	9486	11514000	91
HT8312	20220512 074648	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0965804077066388	0.885492029009969	665	552	40	0.0711989063346068	9342	14298000	92
HT8312	20220512 074858	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0854556840624474	0.920547404272342	828	4018	175	0.0806951276058623	8838	13602000	93
HT8312	20220512 075051	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0988618607252184	0.863257575254748	707	2493	73	0.0565607764536559	11036	14764000	94
HT8312	20220512 075150	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0563972407245636	0.165217367060971	903	4745	442	0.0632255549118539	9352	14048000	95
HT8312	20220512 075219	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.195172905810531	0.218210928347707	422	4609	36	0.070027534281221	10410	14670000	96
